author,paper_count,share
Antoine Bosselut,13,0.18507972665148065
Franck Dernoncourt,13,0.18507972665148065
Marine Carpuat,13,0.18507972665148065
Bing Liu,13,0.18507972665148065
Maarten Sap,13,0.18507972665148065
Xing Xie,13,0.18507972665148065
Soujanya Poria,13,0.18507972665148065
Jordan Boyd-Graber,13,0.18507972665148065
Weizhu Chen,13,0.18507972665148065
Pengfei Liu,13,0.18507972665148065
Xiaodan Zhu,13,0.18507972665148065
Mehdi Rezagholizadeh,13,0.18507972665148065
Tong Zhang,13,0.18507972665148065
Anh Tuan Luu,13,0.18507972665148065
Pawan Goyal,12,0.17084282460136674
Meng Fang,12,0.17084282460136674
Hao Zhang,12,0.17084282460136674
Jiajun Chen,12,0.17084282460136674
Junyi Jessy Li,12,0.17084282460136674
Xiaojun Quan,12,0.17084282460136674
Hao Yang,12,0.17084282460136674
Eduardo Blanco,12,0.17084282460136674
Anders Søgaard,12,0.17084282460136674
Pengjun Xie,12,0.17084282460136674
Qipeng Guo,12,0.17084282460136674
Wei Lu,12,0.17084282460136674
Chao Zhang,12,0.17084282460136674
Minghui Qiu,12,0.17084282460136674
Boxing Chen,12,0.17084282460136674
Tiago Pimentel,12,0.17084282460136674
Xin Jiang,12,0.17084282460136674
Yunbo Cao,12,0.17084282460136674
Trevor Cohn,12,0.17084282460136674
Sujian Li,12,0.17084282460136674
Joyce Chai,12,0.17084282460136674
Xiaoli Li,12,0.17084282460136674
Yuanbin Wu,12,0.17084282460136674
Wanxiang Che,12,0.17084282460136674
Dacheng Tao,12,0.17084282460136674
Kathleen McKeown,12,0.17084282460136674
Haifeng Wang,12,0.17084282460136674
Qing Yang,12,0.17084282460136674
Christof Monz,12,0.17084282460136674
Nuo Chen,12,0.17084282460136674
Timothy Baldwin,12,0.17084282460136674
William Wang,12,0.17084282460136674
Dan Klein,12,0.17084282460136674
Antonios Anastasopoulos,12,0.17084282460136674
Roberto Navigli,12,0.17084282460136674
Wenqiang Lei,12,0.17084282460136674
Eunsol Choi,12,0.17084282460136674
Minjoon Seo,12,0.17084282460136674
Zhoujun Li,12,0.17084282460136674
Yanghua Xiao,12,0.17084282460136674
Xiang Li,12,0.17084282460136674
Zhicheng Dou,12,0.17084282460136674
Ruihong Huang,12,0.17084282460136674
Smaranda Muresan,12,0.17084282460136674
Goran Glavaš,12,0.17084282460136674
Nigel Collier,12,0.17084282460136674
Lifu Huang,12,0.17084282460136674
Matt Gardner,12,0.17084282460136674
Yang Li,12,0.17084282460136674
Bo Wang,12,0.17084282460136674
Yeyun Gong,12,0.17084282460136674
Hao Sun,11,0.15660592255125283
Taylor Berg-Kirkpatrick,11,0.15660592255125283
Dinesh Manocha,11,0.15660592255125283
Rui Zhang,11,0.15660592255125283
Eduard Hovy,11,0.15660592255125283
Heuiseok Lim,11,0.15660592255125283
Xi Chen,11,0.15660592255125283
Yoon Kim,11,0.15660592255125283
Xu Han,11,0.15660592255125283
SangKeun Lee,11,0.15660592255125283
Luo Si,11,0.15660592255125283
Zhuosheng Zhang,11,0.15660592255125283
Guodong Zhou,11,0.15660592255125283
Chris Callison-Burch,11,0.15660592255125283
Tianqing Fang,11,0.15660592255125283
Rico Sennrich,11,0.15660592255125283
Omri Abend,11,0.15660592255125283
Andrew McCallum,11,0.15660592255125283
Liang He,11,0.15660592255125283
Enhong Chen,11,0.15660592255125283
Xin Li,11,0.15660592255125283
Alice Oh,11,0.15660592255125283
Di Wu,11,0.15660592255125283
Hongru Wang,11,0.15660592255125283
Le Sun,11,0.15660592255125283
Ying Zhang,11,0.15660592255125283
Gholamreza Haffari,11,0.15660592255125283
Christopher Potts,11,0.15660592255125283
Linyang Li,11,0.15660592255125283
Daniel Fried,11,0.15660592255125283
Qian Liu,11,0.15660592255125283
Yu Wang,11,0.15660592255125283
Zhendong Mao,11,0.15660592255125283
Deng Cai,11,0.15660592255125283
Hong Chen,11,0.15660592255125283
Fei Mi,11,0.15660592255125283
Fuli Feng,11,0.15660592255125283
Peng Wang,11,0.15660592255125283
Mirella Lapata,11,0.15660592255125283
Leyang Cui,11,0.15660592255125283
Aparna Garimella,11,0.15660592255125283
Soroush Vosoughi,11,0.15660592255125283
Bowen Yu,11,0.15660592255125283
Liangming Pan,11,0.15660592255125283
Jay Pujara,11,0.15660592255125283
Zhaochun Ren,11,0.15660592255125283
Mikel Artetxe,11,0.15660592255125283
Siva Reddy,11,0.15660592255125283
Ming Gao,11,0.15660592255125283
Ming Liu,11,0.15660592255125283
Hao Zhou,11,0.15660592255125283
Lingpeng Kong,11,0.15660592255125283
Xiangliang Zhang,10,0.14236902050113895
Linfeng Song,10,0.14236902050113895
Xiaodong He,10,0.14236902050113895
Yilun Zhao,10,0.14236902050113895
Pascale Fung,10,0.14236902050113895
Kaiqiang Song,10,0.14236902050113895
Lifeng Shang,10,0.14236902050113895
Xiaocheng Feng,10,0.14236902050113895
Lei Wang,10,0.14236902050113895
Yin Zhang,10,0.14236902050113895
Xinyu Dai,10,0.14236902050113895
Jiafeng Guo,10,0.14236902050113895
Kai Zhang,10,0.14236902050113895
Tuhin Chakrabarty,10,0.14236902050113895
Xiaoyu Shen,10,0.14236902050113895
Alham Fikri Aji,10,0.14236902050113895
Lizhen Qu,10,0.14236902050113895
Youngjae Yu,10,0.14236902050113895
Jiwei Li,10,0.14236902050113895
Alexander Rush,10,0.14236902050113895
Michael Zeng,10,0.14236902050113895
Jose Camacho-Collados,10,0.14236902050113895
Fangyu Liu,10,0.14236902050113895
Hinrich Schütze,10,0.14236902050113895
Hui Liu,10,0.14236902050113895
Ji Zhang,10,0.14236902050113895
Haizhou Li,10,0.14236902050113895
Clara Meister,10,0.14236902050113895
Jiajun Zhang,10,0.14236902050113895
Chien-Sheng Wu,10,0.14236902050113895
Kewei Tu,10,0.14236902050113895
Keqing He,10,0.14236902050113895
Ashish Sabharwal,10,0.14236902050113895
Wenhu Chen,10,0.14236902050113895
Yichong Xu,10,0.14236902050113895
Jing Gao,10,0.14236902050113895
Ximing Lu,10,0.14236902050113895
Chengqing Zong,10,0.14236902050113895
Jun Xie,10,0.14236902050113895
Jun Huang,10,0.14236902050113895
Peng Zhang,10,0.14236902050113895
Xiaojie Yuan,10,0.14236902050113895
Hao Peng,10,0.14236902050113895
Yu Li,10,0.14236902050113895
Weiqi Wang,10,0.14236902050113895
Lu Chen,10,0.14236902050113895
Dian Yu,10,0.14236902050113895
Robert West,10,0.14236902050113895
Shizhu He,10,0.14236902050113895
Zheng Liu,10,0.14236902050113895
Pierre Colombo,10,0.14236902050113895
Ye Liu,10,0.14236902050113895
Xiaodan Liang,10,0.14236902050113895
Longtao Huang,10,0.14236902050113895
Alessandro Moschitti,10,0.14236902050113895
Jipeng Zhang,10,0.14236902050113895
Yingbo Zhou,10,0.14236902050113895
Bang Liu,10,0.14236902050113895
Wei Wei,10,0.14236902050113895
Weiping Wang,10,0.14236902050113895
Yi Zhang,10,0.14236902050113895
Wenxuan Zhou,10,0.14236902050113895
Tao Yu,10,0.14236902050113895
Yuexian Zou,10,0.14236902050113895
Yong Jiang,10,0.14236902050113895
Wei Li,10,0.14236902050113895
Philipp Koehn,10,0.14236902050113895
Jie Huang,10,0.14236902050113895
Zhongqiang Huang,10,0.14236902050113895
Zheng Lin,10,0.14236902050113895
Semih Yavuz,10,0.14236902050113895
Zhongyu Wei,10,0.14236902050113895
Hidetaka Kamigaito,10,0.14236902050113895
Shi Han,10,0.14236902050113895
Xinyi Wang,9,0.12813211845102507
Peiyi Wang,9,0.12813211845102507
Meishan Zhang,9,0.12813211845102507
Thien Huu Nguyen,9,0.12813211845102507
Tianyi Zhou,9,0.12813211845102507
Byron Wallace,9,0.12813211845102507
Hung-yi Lee,9,0.12813211845102507
Ehsan Shareghi,9,0.12813211845102507
Huawei Shen,9,0.12813211845102507
Jing Ma,9,0.12813211845102507
Hao Wang,9,0.12813211845102507
Tuo Zhao,9,0.12813211845102507
Ke Wang,9,0.12813211845102507
Ning Ding,9,0.12813211845102507
Chen Li,9,0.12813211845102507
Shih-Fu Chang,9,0.12813211845102507
Ye Wang,9,0.12813211845102507
Jia-Chen Gu,9,0.12813211845102507
Bing Yin,9,0.12813211845102507
Asli Celikyilmaz,9,0.12813211845102507
Jeff Z. Pan,9,0.12813211845102507
Yujiu Yang,9,0.12813211845102507
Desmond Elliott,9,0.12813211845102507
Long Chen,9,0.12813211845102507
Hila Gonen,9,0.12813211845102507
Zhaopeng Tu,9,0.12813211845102507
Xiaoqing Zheng,9,0.12813211845102507
Dawei Yin,9,0.12813211845102507
Jonas Pfeiffer,9,0.12813211845102507
Songlin Hu,9,0.12813211845102507
Yang Yang,9,0.12813211845102507
Vered Shwartz,9,0.12813211845102507
Chongyang Tao,9,0.12813211845102507
Danushka Bollegala,9,0.12813211845102507
Alexander Fraser,9,0.12813211845102507
Xuming Hu,9,0.12813211845102507
Zenglin Xu,9,0.12813211845102507
Quan Wang,9,0.12813211845102507
Haoyu Wang,9,0.12813211845102507
Fei Wang,9,0.12813211845102507
Yanan Cao,9,0.12813211845102507
Bowen Zhou,9,0.12813211845102507
Ming Zhong,9,0.12813211845102507
Tong Xu,9,0.12813211845102507
Jun-Hyung Park,9,0.12813211845102507
Tong Xiao,9,0.12813211845102507
Junxian He,9,0.12813211845102507
Avi Caciularu,9,0.12813211845102507
Jaegul Choo,9,0.12813211845102507
Xianpei Han,9,0.12813211845102507
Libo Qin,9,0.12813211845102507
Dheeraj Mekala,9,0.12813211845102507
Yansong Feng,9,0.12813211845102507
Qiaoming Zhu,9,0.12813211845102507
Xin Wang,9,0.12813211845102507
Oyvind Tafjord,9,0.12813211845102507
Orevaoghene Ahia,9,0.12813211845102507
Yu Hong,9,0.12813211845102507
Wei Peng,9,0.12813211845102507
Cheng Yang,9,0.12813211845102507
Yun-Nung Chen,9,0.12813211845102507
Kyomin Jung,9,0.12813211845102507
Wei Zhang,9,0.12813211845102507
Anne Lauscher,9,0.12813211845102507
Se-Young Yun,9,0.12813211845102507
Niket Tandon,9,0.12813211845102507
Ming Yan,9,0.12813211845102507
Shaohan Huang,9,0.12813211845102507
Jie Tang,9,0.12813211845102507
See-Kiong Ng,9,0.12813211845102507
Zheng Li,9,0.12813211845102507
Yi Zhou,9,0.12813211845102507
Sachindra Joshi,9,0.12813211845102507
Sara Hooker,9,0.12813211845102507
Zuozhu Liu,9,0.12813211845102507
Jianing Wang,9,0.12813211845102507
Ming Gong,9,0.12813211845102507
Dongdong Zhang,9,0.12813211845102507
Huan Sun,8,0.11389521640091116
Seungwhan Moon,8,0.11389521640091116
Sha Li,8,0.11389521640091116
Zihan Zhang,8,0.11389521640091116
Heyan Huang,8,0.11389521640091116
Jiao Sun,8,0.11389521640091116
Jian Yang,8,0.11389521640091116
Dongliang Xu,8,0.11389521640091116
David Ifeoluwa Adelani,8,0.11389521640091116
Kevin Duh,8,0.11389521640091116
Jie Fu,8,0.11389521640091116
Zhiting Hu,8,0.11389521640091116
Dongha Lee,8,0.11389521640091116
Zhixu Li,8,0.11389521640091116
Dietrich Klakow,8,0.11389521640091116
Jiaao Chen,8,0.11389521640091116
Changlong Sun,8,0.11389521640091116
Tao Yang,8,0.11389521640091116
Tao Li,8,0.11389521640091116
Taro Watanabe,8,0.11389521640091116
Kai Fan,8,0.11389521640091116
Jacob Andreas,8,0.11389521640091116
Jack Hessel,8,0.11389521640091116
Yufang Hou,8,0.11389521640091116
Yaqing Wang,8,0.11389521640091116
Leonardo F. R. Ribeiro,8,0.11389521640091116
Yixin Liu,8,0.11389521640091116
Robin Jia,8,0.11389521640091116
Jing Zhang,8,0.11389521640091116
Deyu Zhou,8,0.11389521640091116
Zhengyuan Liu,8,0.11389521640091116
Alan Ritter,8,0.11389521640091116
Reza Haf,8,0.11389521640091116
Swabha Swayamdipta,8,0.11389521640091116
Julia Hirschberg,8,0.11389521640091116
Songfang Huang,8,0.11389521640091116
Honglak Lee,8,0.11389521640091116
Lingyong Yan,8,0.11389521640091116
Xiaojie Wang,8,0.11389521640091116
Linjun Shou,8,0.11389521640091116
François Yvon,8,0.11389521640091116
Yuning Mao,8,0.11389521640091116
Yunmo Chen,8,0.11389521640091116
Taeuk Kim,8,0.11389521640091116
Yu Zhao,8,0.11389521640091116
Kyle Mahowald,8,0.11389521640091116
Liang Pang,8,0.11389521640091116
Wangchunshu Zhou,8,0.11389521640091116
Kun Kuang,8,0.11389521640091116
